Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2019 12 17 11	1.43	9.8	14.7	352	-9999.9	-9999.9	1.15	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 12	1.4	9.7	14.7	353	-9999.9	-9999.9	1.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 13	1.37	9.8	14.7	353	-9999.9	-9999.9	1.12	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 14	1.34	9.7	14.7	353	-9999.9	-9999.9	1.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 15	1.3	9.7	14.7	353	-9999.9	-9999.9	1.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 16	1.27	9.8	14.7	353	-9999.9	-9999.9	1.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 17	1.23	9.9	14.7	353	-9999.9	-9999.9	1.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 18	1.19	10.0	14.7	353	-9999.9	-9999.9	1.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 19	1.15	10.1	14.7	353	-9999.9	-9999.9	0.98	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 20	1.11	10.1	14.7	352	-9999.9	-9999.9	0.95	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 21	1.07	10.2	14.7	352	-9999.9	-9999.9	0.93	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 22	1.03	10.3	13.3	352	-9999.9	-9999.9	0.91	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 23	1.0	10.3	13.3	352	-9999.9	-9999.9	0.88	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 00	0.97	10.4	13.3	352	-9999.9	-9999.9	0.86	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 01	0.94	10.5	13.3	351	-9999.9	-9999.9	0.84	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 02	0.91	10.5	13.3	351	-9999.9	-9999.9	0.81	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 03	0.88	10.5	13.3	351	-9999.9	-9999.9	0.79	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 04	0.86	10.5	13.3	351	-9999.9	-9999.9	0.77	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 05	0.83	10.5	13.3	351	-9999.9	-9999.9	0.75	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 06	0.8	10.4	13.3	350	-9999.9	-9999.9	0.72	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 07	0.77	10.4	13.3	350	-9999.9	-9999.9	0.7	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 08	0.74	10.4	13.3	350	-9999.9	-9999.9	0.67	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 09	0.71	10.4	13.3	350	-9999.9	-9999.9	0.64	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 10	0.68	9.8	13.3	350	-9999.9	-9999.9	0.61	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 11	0.66	7.5	13.3	350	-9999.9	-9999.9	0.57	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 12	0.64	6.5	12.1	350	-9999.9	-9999.9	0.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 13	0.74	3.1	13.3	337	-9999.9	-9999.9	0.52	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 14	0.98	2.5	12.1	278	-9999.9	-9999.9	0.49	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 15	0.97	2.4	12.1	240	-9999.9	-9999.9	0.45	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 16	0.99	2.4	12.1	229	-9999.9	-9999.9	0.42	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 17	0.88	2.3	12.1	231	-9999.9	-9999.9	0.4	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 18	0.75	2.3	12.1	246	-9999.9	-9999.9	0.37	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 19	0.69	2.3	12.1	254	-9999.9	-9999.9	0.35	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 20	0.55	2.3	12.1	301	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 21	0.48	2.4	12.1	310	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 18 22	0.46	2.3	12.1	300	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
