Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2020 01 10 12	34.965
2020 01 10 13	34.965
2020 01 10 14	34.965
2020 01 10 15	34.965
2020 01 10 16	34.965
2020 01 10 17	34.965
2020 01 10 18	34.965
2020 01 10 19	34.965
2020 01 10 20	34.965
2020 01 10 21	34.965
2020 01 10 22	34.965
2020 01 10 23	34.965
2020 01 11 00	34.53
2020 01 11 01	34.53
2020 01 11 02	34.53
2020 01 11 03	34.53
2020 01 11 04	34.53
2020 01 11 05	34.53
2020 01 11 06	34.53
2020 01 11 07	34.53
2020 01 11 08	34.53
2020 01 11 09	34.53
2020 01 11 10	34.53
2020 01 11 11	34.53
2020 01 11 12	34.53
2020 01 11 13	34.53
2020 01 11 14	34.53
2020 01 11 15	34.53
2020 01 11 16	34.53
2020 01 11 17	34.53
2020 01 11 18	34.53
2020 01 11 19	34.53
2020 01 11 20	34.53
2020 01 11 21	34.53
2020 01 11 22	34.53
2020 01 11 23	34.53
2020 01 12 00	34.243
2020 01 12 01	34.243
2020 01 12 02	34.243
2020 01 12 03	34.243
2020 01 12 04	34.243
2020 01 12 05	34.243
2020 01 12 06	34.243
2020 01 12 07	34.243
2020 01 12 08	34.243
2020 01 12 09	34.243
2020 01 12 10	34.243
2020 01 12 11	34.243
2020 01 12 12	34.243
2020 01 12 13	34.243
2020 01 12 14	34.243
2020 01 12 15	34.243
2020 01 12 16	34.243
2020 01 12 17	34.243
2020 01 12 18	34.243
2020 01 12 19	34.243
2020 01 12 20	34.243
2020 01 12 21	34.243
2020 01 12 22	34.243
2020 01 12 23	34.243
2020 01 13 00	34.346
2020 01 13 01	34.346
2020 01 13 02	34.346
2020 01 13 03	34.346
2020 01 13 04	34.346
2020 01 13 05	34.346
2020 01 13 06	34.346
2020 01 13 07	34.346
2020 01 13 08	34.346
2020 01 13 09	34.346
2020 01 13 10	34.346
2020 01 13 11	34.346
2020 01 13 12	34.346
2020 01 13 13	34.346
2020 01 13 14	34.346
2020 01 13 15	34.346
2020 01 13 16	34.346
2020 01 13 17	34.346
2020 01 13 18	34.346
2020 01 13 19	34.346
2020 01 13 20	34.346
2020 01 13 21	34.346
2020 01 13 22	34.346
2020 01 13 23	34.346
2020 01 14 00	34.8
2020 01 14 01	34.8
2020 01 14 02	34.8
2020 01 14 03	34.8
2020 01 14 04	34.8
2020 01 14 05	34.8
2020 01 14 06	34.8
2020 01 14 07	34.8
2020 01 14 08	34.8
2020 01 14 09	34.8
2020 01 14 10	34.8
2020 01 14 11	34.8
2020 01 14 12	34.8
2020 01 14 13	34.8
2020 01 14 14	34.8
2020 01 14 15	34.8
2020 01 14 16	34.8
2020 01 14 17	34.8
2020 01 14 18	34.8
2020 01 14 19	34.8
2020 01 14 20	34.8
2020 01 14 21	34.8
2020 01 14 22	34.8
2020 01 14 23	34.8
2020 01 15 00	34.671
2020 01 15 01	34.671
2020 01 15 02	34.671
2020 01 15 03	34.671
2020 01 15 04	34.671
2020 01 15 05	34.671
2020 01 15 06	34.671
2020 01 15 07	34.671
2020 01 15 08	34.671
2020 01 15 09	34.671
2020 01 15 10	34.671
2020 01 15 11	34.671
2020 01 15 12	34.671
2020 01 15 13	34.671
2020 01 15 14	34.671
2020 01 15 15	34.671
2020 01 15 16	34.671
2020 01 15 17	34.671
2020 01 15 18	34.671
2020 01 15 19	34.671
2020 01 15 20	34.671
2020 01 15 21	34.671
2020 01 15 22	34.671
2020 01 15 23	34.671
2020 01 16 00	34.651
2020 01 16 01	34.651
2020 01 16 02	34.651
2020 01 16 03	34.651
2020 01 16 04	34.651
2020 01 16 05	34.651
2020 01 16 06	34.651
2020 01 16 07	34.651
2020 01 16 08	34.651
2020 01 16 09	34.651
2020 01 16 10	34.651
2020 01 16 11	34.651
2020 01 16 12	34.651
2020 01 16 13	34.651
2020 01 16 14	34.651
2020 01 16 15	34.651
2020 01 16 16	34.651
2020 01 16 17	34.651
2020 01 16 18	34.651
2020 01 16 19	34.651
2020 01 16 20	34.651
2020 01 16 21	34.651
2020 01 16 22	34.651
2020 01 16 23	34.651
2020 01 17 00	34.505
2020 01 17 01	34.505
2020 01 17 02	34.505
2020 01 17 03	34.505
2020 01 17 04	34.505
2020 01 17 05	34.505
2020 01 17 06	34.505
2020 01 17 07	34.505
2020 01 17 08	34.505
2020 01 17 09	34.505
2020 01 17 10	34.505
2020 01 17 11	34.505
2020 01 17 12	34.505
2020 01 17 13	34.505
2020 01 17 14	34.505
2020 01 17 15	34.505
2020 01 17 16	34.505
2020 01 17 17	34.505
2020 01 17 18	34.505
2020 01 17 19	34.505
2020 01 17 20	34.505
2020 01 17 21	34.505
2020 01 17 22	34.505
2020 01 17 23	34.505
2020 01 18 00	34.562
2020 01 18 01	34.562
2020 01 18 02	34.562
2020 01 18 03	34.562
2020 01 18 04	34.562
2020 01 18 05	34.562
2020 01 18 06	34.562
