Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2020 01 18 05	12.879
2020 01 18 06	12.855
2020 01 18 07	12.834
2020 01 18 08	12.824
2020 01 18 09	12.825
2020 01 18 10	12.84
2020 01 18 11	12.866
2020 01 18 12	12.911
2020 01 18 13	12.943
2020 01 18 14	12.963
2020 01 18 15	12.986
2020 01 18 16	13.016
2020 01 18 17	13.047
2020 01 18 18	13.068
2020 01 18 19	13.075
2020 01 18 20	13.079
2020 01 18 21	13.079
2020 01 18 22	13.074
2020 01 18 23	13.068
2020 01 19 00	13.062
2020 01 19 01	13.053
2020 01 19 02	13.044
2020 01 19 03	13.036
2020 01 19 04	13.03
2020 01 19 05	13.029
2020 01 19 06	13.029
2020 01 19 07	13.026
2020 01 19 08	13.02
2020 01 19 09	13.013
2020 01 19 10	13.004
2020 01 19 11	12.995
2020 01 19 12	12.992
2020 01 19 13	12.991
2020 01 19 14	12.987
2020 01 19 15	12.987
2020 01 19 16	12.989
2020 01 19 17	12.991
2020 01 19 18	12.985
2020 01 19 19	12.975
2020 01 19 20	12.966
2020 01 19 21	12.957
2020 01 19 22	12.947
2020 01 19 23	12.936
2020 01 20 00	12.925
2020 01 20 01	12.913
2020 01 20 02	12.901
2020 01 20 03	12.888
2020 01 20 04	12.874
2020 01 20 05	12.862
2020 01 20 06	12.853
2020 01 20 07	12.846
2020 01 20 08	12.843
2020 01 20 09	12.844
2020 01 20 10	12.845
2020 01 20 11	12.847
2020 01 20 12	12.855
2020 01 20 13	12.864
2020 01 20 14	12.87
2020 01 20 15	12.875
2020 01 20 16	12.88
2020 01 20 17	12.884
2020 01 20 18	12.88
2020 01 20 19	12.876
2020 01 20 20	12.877
2020 01 20 21	12.878
2020 01 20 22	12.88
2020 01 20 23	12.881
2020 01 21 00	12.88
2020 01 21 01	12.875
2020 01 21 02	12.868
2020 01 21 03	12.858
2020 01 21 04	12.844
2020 01 21 05	12.826
2020 01 21 06	12.806
2020 01 21 07	12.791
2020 01 21 08	12.781
2020 01 21 09	12.779
2020 01 21 10	12.783
2020 01 21 11	12.792
2020 01 21 12	12.811
2020 01 21 13	12.823
2020 01 21 14	12.826
2020 01 21 15	12.821
2020 01 21 16	12.811
2020 01 21 17	12.799
2020 01 21 18	12.776
2020 01 21 19	12.744
2020 01 21 20	12.71
2020 01 21 21	12.673
2020 01 21 22	12.633
2020 01 21 23	12.598
2020 01 22 00	12.692
2020 01 22 01	12.671
2020 01 22 02	12.653
2020 01 22 03	12.645
2020 01 22 04	12.656
2020 01 22 05	12.668
2020 01 22 06	12.679
2020 01 22 07	12.692
2020 01 22 08	12.701
2020 01 22 09	12.71
2020 01 22 10	12.716
2020 01 22 11	12.718
2020 01 22 12	12.723
2020 01 22 13	12.724
2020 01 22 14	12.723
2020 01 22 15	12.724
2020 01 22 16	12.728
2020 01 22 17	12.737
2020 01 22 18	12.74
2020 01 22 19	12.735
2020 01 22 20	12.728
2020 01 22 21	12.707
2020 01 22 22	12.689
2020 01 22 23	12.684
2020 01 23 00	12.681
2020 01 23 01	12.664
2020 01 23 02	12.639
2020 01 23 03	12.617
2020 01 23 04	12.594
2020 01 23 05	12.568
2020 01 23 06	12.528
2020 01 23 07	12.473
2020 01 23 08	12.415
2020 01 23 09	12.367
2020 01 23 10	12.337
2020 01 23 11	12.317
2020 01 23 12	12.331
2020 01 23 13	12.358
2020 01 23 14	12.374
2020 01 23 15	12.394
2020 01 23 16	12.424
2020 01 23 17	12.463
2020 01 23 18	12.482
2020 01 23 19	12.487
2020 01 23 20	12.519
2020 01 23 21	12.562
2020 01 23 22	12.616
2020 01 23 23	12.661
2020 01 24 00	12.677
2020 01 24 01	12.674
2020 01 24 02	12.668
2020 01 24 03	12.663
2020 01 24 04	12.658
2020 01 24 05	12.659
2020 01 24 06	12.674
2020 01 24 07	12.678
2020 01 24 08	12.664
2020 01 24 09	12.638
2020 01 24 10	12.603
2020 01 24 11	12.566
2020 01 24 12	12.573
2020 01 24 13	12.619
2020 01 24 14	12.661
2020 01 24 15	12.708
2020 01 24 16	12.764
2020 01 24 17	12.819
2020 01 24 18	12.823
2020 01 24 19	12.774
2020 01 24 20	12.728
2020 01 24 21	12.683
2020 01 24 22	12.647
2020 01 24 23	12.621
2020 01 25 00	12.601
2020 01 25 01	12.576
2020 01 25 02	12.546
2020 01 25 03	12.511
2020 01 25 04	12.47
